Actual,Predicted,Residual,Date,Month,AbsError,MonthName,MonthNumber
9472,7106.345281206799,2365.654718793201,2015-01-30,1,2365.654718793201,Jan,1
6034,7510.887256112153,-1476.8872561121534,2015-01-30,1,1476.8872561121534,Jan,1
4978,6821.249344847776,-1843.2493448477762,2015-01-30,1,1843.2493448477762,Jan,1
10294,8319.928675919684,1974.0713240803161,2015-01-30,1,1974.0713240803161,Jan,1
4657,7721.7332828285,-3064.7332828285,2015-01-30,1,3064.7332828285,Jan,1
7665,8239.001569232467,-574.0015692324669,2015-01-30,1,574.0015692324669,Jan,1
14541,8284.309459576703,6256.690540423297,2015-01-30,1,6256.690540423297,Jan,1
5243,7640.1396263697825,-2397.1396263697825,2015-01-30,1,2397.1396263697825,Jan,1
7350,8593.092102217342,-1243.0921022173425,2015-01-30,1,1243.0921022173425,Jan,1
8637,8114.174492657796,522.8255073422042,2015-01-30,1,522.8255073422042,Jan,1
7716,7952.810614236019,-236.81061423601932,2015-01-30,1,236.81061423601932,Jan,1
7228,6957.655005926819,270.3449940731807,2015-01-30,1,270.3449940731807,Jan,1
12406,7486.828104126354,4919.171895873646,2015-01-30,1,4919.171895873646,Jan,1
5914,7899.731462257885,-1985.7314622578851,2015-01-30,1,1985.7314622578851,Jan,1
10666,6050.290380296035,4615.709619703965,2015-01-30,1,4615.709619703965,Jan,1
10563,8303.28729599461,2259.7127040053892,2015-01-30,1,2259.7127040053892,Jan,1
6046,7461.475119054463,-1415.475119054463,2015-01-30,1,1415.475119054463,Jan,1
11750,8069.416876937408,3680.5831230625918,2015-01-30,1,3680.5831230625918,Jan,1
10528,8071.023015304556,2456.976984695444,2015-01-30,1,2456.976984695444,Jan,1
4906,7131.0527580522175,-2225.0527580522175,2015-01-30,1,2225.0527580522175,Jan,1
8278,8674.568976711977,-396.5689767119766,2015-01-30,1,396.5689767119766,Jan,1
8282,7272.852057756885,1009.1479422431148,2015-01-30,1,1009.1479422431148,Jan,1
4527,7260.829384962999,-2733.829384962999,2015-01-30,1,2733.829384962999,Jan,1
9439,6363.220113765245,3075.7798862347554,2015-01-30,1,3075.7798862347554,Jan,1
8937,7969.099147705449,967.9008522945514,2015-01-30,1,967.9008522945514,Jan,1
9548,7386.918004182313,2161.081995817687,2015-01-30,1,2161.081995817687,Jan,1
3928,7171.189419000497,-3243.189419000497,2015-01-30,1,3243.189419000497,Jan,1
21950,8316.314489468263,13633.685510531737,2015-01-30,1,13633.685510531737,Jan,1
11401,7891.126467452064,3509.8735325479356,2015-01-30,1,3509.8735325479356,Jan,1
5722,6855.425791821181,-1133.4257918211806,2015-01-30,1,1133.4257918211806,Jan,1
6368,6586.610752604465,-218.61075260446523,2015-01-30,1,218.61075260446523,Jan,1
10982,8428.645068306854,2553.3549316931458,2015-01-30,1,2553.3549316931458,Jan,1
10054,7271.201836241147,2782.7981637588528,2015-01-30,1,2782.7981637588528,Jan,1
10176,7786.270220380247,2389.7297796197527,2015-01-30,1,2389.7297796197527,Jan,1
10578,8399.906655046245,2178.093344953755,2015-01-30,1,2178.093344953755,Jan,1
7600,7199.135223437246,400.86477656275383,2015-01-30,1,400.86477656275383,Jan,1
6339,7575.284996943577,-1236.2849969435774,2015-01-30,1,1236.2849969435774,Jan,1
5216,7150.9819403812,-1934.9819403811998,2015-01-30,1,1934.9819403811998,Jan,1
9493,7409.986201692227,2083.013798307773,2015-01-30,1,2083.013798307773,Jan,1
6696,6859.918188737793,-163.91818873779266,2015-01-30,1,163.91818873779266,Jan,1
7900,7987.6309036243765,-87.63090362437651,2015-01-30,1,87.63090362437651,Jan,1
10364,7652.639278418472,2711.360721581528,2015-01-30,1,2711.360721581528,Jan,1
4122,7676.961236848292,-3554.961236848292,2015-01-30,1,3554.961236848292,Jan,1
5835,6303.85052486675,-468.85052486674977,2015-01-30,1,468.85052486674977,Jan,1
14707,7866.4556274395145,6840.5443725604855,2015-01-30,1,6840.5443725604855,Jan,1
7617,7902.253401061491,-285.2534010614909,2015-01-30,1,285.2534010614909,Jan,1
7623,7757.689438267873,-134.6894382678729,2015-01-30,1,134.6894382678729,Jan,1
14152,8247.430353890319,5904.569646109681,2015-01-30,1,5904.569646109681,Jan,1
4813,7583.764901087881,-2770.7649010878813,2015-01-30,1,2770.7649010878813,Jan,1
8732,8750.967920803727,-18.967920803726884,2015-01-30,1,18.967920803726884,Jan,1
5561,7531.196321137162,-1970.1963211371622,2015-01-30,1,1970.1963211371622,Jan,1
7065,6761.022320837452,303.97767916254816,2015-01-30,1,303.97767916254816,Jan,1
8366,7306.211626207776,1059.7883737922239,2015-01-30,1,1059.7883737922239,Jan,1
